Inference - SOTS_outdoor
save_image: True
data_path: ../dataset/SOTS/outdoor/hazy
gt_path: ../dataset/SOTS/outdoor/clear
model_path: ../pretrained_models/SOTS_outdoor.pt
result_path: ../infer_results/infer_SOTS_outdoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_outdoor.pt
> 0099_1 PSNR=31.722, SSIM=0.9860 pre_time:0.033s, forward_time:1.756s, post_time:0.685s, total_time:2.474s
> 0100_1 PSNR=21.547, SSIM=0.9419 pre_time:0.015s, forward_time:0.241s, post_time:0.566s, total_time:0.822s
> 0101_1 PSNR=37.940, SSIM=0.9887 pre_time:0.021s, forward_time:1.334s, post_time:0.950s, total_time:2.305s
> 0102_1 PSNR=31.666, SSIM=0.9814 pre_time:0.024s, forward_time:1.083s, post_time:0.945s, total_time:2.053s
> 0104_1 PSNR=25.868, SSIM=0.9769 pre_time:0.023s, forward_time:0.281s, post_time:0.960s, total_time:1.263s
> 0105_1 PSNR=26.908, SSIM=0.9664 pre_time:0.035s, forward_time:1.202s, post_time:0.796s, total_time:2.034s
> 0106_1 PSNR=18.950, SSIM=0.9358 pre_time:0.025s, forward_time:0.156s, post_time:0.414s, total_time:0.595s
> 0107_1 PSNR=31.294, SSIM=0.9869 pre_time:0.014s, forward_time:0.216s, post_time:0.556s, total_time:0.785s
> 0108_1 PSNR=31.999, SSIM=0.9772 pre_time:0.020s, forward_time:1.396s, post_time:0.710s, total_time:2.126s
> 0108_2 PSNR=28.195, SSIM=0.9527 pre_time:0.023s, forward_time:0.363s, post_time:0.751s, total_time:1.138s
> 0109_1 PSNR=36.556, SSIM=0.9897 pre_time:0.025s, forward_time:0.239s, post_time:0.692s, total_time:0.957s
> 0110_1 PSNR=36.554, SSIM=0.9865 pre_time:0.019s, forward_time:1.011s, post_time:0.803s, total_time:1.833s
> 0111_1 PSNR=29.475, SSIM=0.9750 pre_time:0.032s, forward_time:0.518s, post_time:0.818s, total_time:1.368s
> 0112_1 PSNR=27.943, SSIM=0.9828 pre_time:0.021s, forward_time:1.141s, post_time:0.941s, total_time:2.103s
> 0113_1 PSNR=37.268, SSIM=0.9841 pre_time:0.012s, forward_time:0.302s, post_time:0.401s, total_time:0.715s
> 0115_1 PSNR=29.832, SSIM=0.9818 pre_time:0.019s, forward_time:0.161s, post_time:0.605s, total_time:0.786s
> 0116_1 PSNR=30.878, SSIM=0.9840 pre_time:0.028s, forward_time:0.299s, post_time:1.042s, total_time:1.369s
> 0117_1 PSNR=28.822, SSIM=0.9836 pre_time:0.031s, forward_time:0.279s, post_time:0.741s, total_time:1.052s
> 0118_1 PSNR=27.457, SSIM=0.9690 pre_time:0.027s, forward_time:1.289s, post_time:0.782s, total_time:2.098s
> 0119_1 PSNR=30.491, SSIM=0.9838 pre_time:0.024s, forward_time:1.519s, post_time:0.776s, total_time:2.320s
> 0120_1 PSNR=34.737, SSIM=0.9861 pre_time:0.028s, forward_time:1.408s, post_time:1.942s, total_time:3.377s
> 0121_1 PSNR=28.136, SSIM=0.9822 pre_time:0.011s, forward_time:0.192s, post_time:0.401s, total_time:0.604s
> 0123_1 PSNR=37.087, SSIM=0.9845 pre_time:0.028s, forward_time:0.294s, post_time:0.722s, total_time:1.044s
> 0125_1 PSNR=29.075, SSIM=0.9760 pre_time:0.034s, forward_time:1.763s, post_time:0.918s, total_time:2.715s
> 0126_1 PSNR=25.988, SSIM=0.9788 pre_time:0.015s, forward_time:0.167s, post_time:0.472s, total_time:0.654s
