Inference - SOTS_indoor
save_image: True
data_path: ../dataset/SOTS/indoor/hazy
gt_path: ../dataset/SOTS/indoor/clear
model_path: ../pretrained_models/SOTS_indoor.pt
result_path: ../infer_results/infer_SOTS_indoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_indoor.pt
> 1406_6 PSNR=38.920, SSIM=0.9927 pre_time:0.023s, forward_time:0.199s, post_time:0.491s, total_time:0.713s
> 1406_7 PSNR=38.205, SSIM=0.9920 pre_time:0.021s, forward_time:0.202s, post_time:0.498s, total_time:0.721s
> 1406_8 PSNR=36.838, SSIM=0.9907 pre_time:0.021s, forward_time:0.206s, post_time:0.482s, total_time:0.709s
> 1406_9 PSNR=36.559, SSIM=0.9898 pre_time:0.022s, forward_time:0.198s, post_time:0.480s, total_time:0.700s
> 1407_1 PSNR=40.800, SSIM=0.9957 pre_time:0.022s, forward_time:0.202s, post_time:0.505s, total_time:0.729s
> 1407_10 PSNR=37.909, SSIM=0.9897 pre_time:0.021s, forward_time:0.200s, post_time:0.544s, total_time:0.766s
> 1407_2 PSNR=37.332, SSIM=0.9891 pre_time:0.022s, forward_time:0.198s, post_time:0.543s, total_time:0.763s
> 1407_3 PSNR=40.631, SSIM=0.9949 pre_time:0.021s, forward_time:0.204s, post_time:0.538s, total_time:0.764s
> 1407_4 PSNR=40.396, SSIM=0.9945 pre_time:0.022s, forward_time:0.198s, post_time:0.509s, total_time:0.729s
> 1407_5 PSNR=39.833, SSIM=0.9938 pre_time:0.027s, forward_time:0.202s, post_time:0.519s, total_time:0.747s
> 1407_6 PSNR=39.098, SSIM=0.9928 pre_time:0.021s, forward_time:0.210s, post_time:0.510s, total_time:0.741s
> 1407_7 PSNR=38.897, SSIM=0.9921 pre_time:0.022s, forward_time:0.199s, post_time:0.504s, total_time:0.725s
> 1407_8 PSNR=38.083, SSIM=0.9912 pre_time:0.023s, forward_time:0.196s, post_time:0.530s, total_time:0.750s
> 1407_9 PSNR=38.043, SSIM=0.9907 pre_time:0.024s, forward_time:0.197s, post_time:0.519s, total_time:0.740s
> 1408_1 PSNR=41.709, SSIM=0.9962 pre_time:0.022s, forward_time:0.204s, post_time:0.451s, total_time:0.678s
> 1408_10 PSNR=38.932, SSIM=0.9920 pre_time:0.023s, forward_time:0.200s, post_time:0.465s, total_time:0.687s
> 1408_2 PSNR=38.560, SSIM=0.9913 pre_time:0.024s, forward_time:0.205s, post_time:0.458s, total_time:0.687s
> 1408_3 PSNR=41.434, SSIM=0.9957 pre_time:0.022s, forward_time:0.203s, post_time:0.433s, total_time:0.659s
> 1408_4 PSNR=41.048, SSIM=0.9952 pre_time:0.026s, forward_time:0.201s, post_time:0.470s, total_time:0.696s
> 1408_5 PSNR=40.679, SSIM=0.9948 pre_time:0.028s, forward_time:0.200s, post_time:0.427s, total_time:0.655s
> 1408_6 PSNR=40.328, SSIM=0.9943 pre_time:0.022s, forward_time:0.204s, post_time:0.434s, total_time:0.660s
> 1408_7 PSNR=40.041, SSIM=0.9938 pre_time:0.021s, forward_time:0.211s, post_time:0.466s, total_time:0.699s
> 1408_8 PSNR=39.401, SSIM=0.9932 pre_time:0.023s, forward_time:0.199s, post_time:0.447s, total_time:0.669s
> 1408_9 PSNR=39.156, SSIM=0.9927 pre_time:0.022s, forward_time:0.205s, post_time:0.469s, total_time:0.696s
> 1409_1 PSNR=38.307, SSIM=0.9955 pre_time:0.024s, forward_time:0.199s, post_time:0.475s, total_time:0.699s
> 1409_10 PSNR=33.550, SSIM=0.9885 pre_time:0.023s, forward_time:0.201s, post_time:0.504s, total_time:0.728s
> 1409_2 PSNR=33.694, SSIM=0.9874 pre_time:0.022s, forward_time:0.197s, post_time:0.519s, total_time:0.739s
> 1409_3 PSNR=37.616, SSIM=0.9948 pre_time:0.023s, forward_time:0.199s, post_time:0.501s, total_time:0.724s
> 1409_4 PSNR=37.630, SSIM=0.9943 pre_time:0.021s, forward_time:0.201s, post_time:0.511s, total_time:0.734s
> 1409_5 PSNR=37.150, SSIM=0.9935 pre_time:0.022s, forward_time:0.203s, post_time:0.533s, total_time:0.758s
> 1409_6 PSNR=37.198, SSIM=0.9927 pre_time:0.026s, forward_time:0.200s, post_time:0.540s, total_time:0.767s
> 1409_7 PSNR=35.887, SSIM=0.9917 pre_time:0.023s, forward_time:0.204s, post_time:0.503s, total_time:0.730s
> 1409_8 PSNR=35.185, SSIM=0.9907 pre_time:0.023s, forward_time:0.201s, post_time:0.508s, total_time:0.732s
> 1409_9 PSNR=34.262, SSIM=0.9894 pre_time:0.021s, forward_time:0.198s, post_time:0.497s, total_time:0.716s
> 1410_1 PSNR=38.961, SSIM=0.9950 pre_time:0.019s, forward_time:0.201s, post_time:0.652s, total_time:0.872s
> 1410_10 PSNR=36.115, SSIM=0.9883 pre_time:0.026s, forward_time:0.198s, post_time:0.728s, total_time:0.952s
> 1410_2 PSNR=35.025, SSIM=0.9867 pre_time:0.023s, forward_time:0.204s, post_time:0.639s, total_time:0.865s
> 1410_3 PSNR=38.678, SSIM=0.9946 pre_time:0.019s, forward_time:0.207s, post_time:0.643s, total_time:0.870s
> 1410_4 PSNR=38.135, SSIM=0.9936 pre_time:0.020s, forward_time:0.202s, post_time:0.666s, total_time:0.887s
> 1410_5 PSNR=37.827, SSIM=0.9931 pre_time:0.020s, forward_time:0.203s, post_time:0.653s, total_time:0.876s
> 1410_6 PSNR=37.038, SSIM=0.9918 pre_time:0.021s, forward_time:0.209s, post_time:0.646s, total_time:0.876s
> 1410_7 PSNR=36.798, SSIM=0.9912 pre_time:0.024s, forward_time:0.200s, post_time:0.661s, total_time:0.884s
> 1410_8 PSNR=36.202, SSIM=0.9900 pre_time:0.022s, forward_time:0.200s, post_time:0.687s, total_time:0.908s
> 1410_9 PSNR=36.560, SSIM=0.9894 pre_time:0.023s, forward_time:0.199s, post_time:0.627s, total_time:0.849s
> 1411_1 PSNR=43.798, SSIM=0.9938 pre_time:0.019s, forward_time:0.208s, post_time:0.559s, total_time:0.786s
> 1411_10 PSNR=39.586, SSIM=0.9860 pre_time:0.020s, forward_time:0.206s, post_time:0.574s, total_time:0.801s
> 1411_2 PSNR=39.868, SSIM=0.9832 pre_time:0.019s, forward_time:0.205s, post_time:0.594s, total_time:0.818s
> 1411_3 PSNR=43.703, SSIM=0.9928 pre_time:0.021s, forward_time:0.205s, post_time:0.579s, total_time:0.805s
> 1411_4 PSNR=43.209, SSIM=0.9918 pre_time:0.018s, forward_time:0.200s, post_time:0.618s, total_time:0.835s
> 1411_5 PSNR=41.743, SSIM=0.9896 pre_time:0.023s, forward_time:0.198s, post_time:0.623s, total_time:0.844s
> 1411_6 PSNR=41.907, SSIM=0.9894 pre_time:0.022s, forward_time:0.201s, post_time:0.629s, total_time:0.853s
> 1411_7 PSNR=40.864, SSIM=0.9877 pre_time:0.017s, forward_time:0.201s, post_time:0.631s, total_time:0.849s
> 1411_8 PSNR=41.000, SSIM=0.9867 pre_time:0.017s, forward_time:0.197s, post_time:0.626s, total_time:0.841s
> 1411_9 PSNR=40.102, SSIM=0.9852 pre_time:0.021s, forward_time:0.199s, post_time:0.605s, total_time:0.826s
> 1412_1 PSNR=35.645, SSIM=0.9927 pre_time:0.019s, forward_time:0.200s, post_time:0.613s, total_time:0.832s
> 1412_10 PSNR=32.327, SSIM=0.9836 pre_time:0.019s, forward_time:0.207s, post_time:0.634s, total_time:0.860s
> 1412_2 PSNR=32.564, SSIM=0.9824 pre_time:0.026s, forward_time:0.201s, post_time:0.661s, total_time:0.888s
> 1412_3 PSNR=35.406, SSIM=0.9920 pre_time:0.026s, forward_time:0.199s, post_time:0.837s, total_time:1.062s
> 1412_4 PSNR=34.741, SSIM=0.9913 pre_time:0.019s, forward_time:0.198s, post_time:0.572s, total_time:0.789s
> 1412_5 PSNR=34.150, SSIM=0.9898 pre_time:0.020s, forward_time:0.198s, post_time:0.603s, total_time:0.821s
> 1412_6 PSNR=33.821, SSIM=0.9887 pre_time:0.019s, forward_time:0.197s, post_time:0.621s, total_time:0.838s
> 1412_7 PSNR=33.525, SSIM=0.9873 pre_time:0.019s, forward_time:0.198s, post_time:0.599s, total_time:0.816s
> 1412_8 PSNR=33.265, SSIM=0.9861 pre_time:0.019s, forward_time:0.198s, post_time:0.610s, total_time:0.826s
> 1412_9 PSNR=33.054, SSIM=0.9852 pre_time:0.021s, forward_time:0.200s, post_time:0.592s, total_time:0.812s
> 1413_1 PSNR=38.039, SSIM=0.9938 pre_time:0.021s, forward_time:0.200s, post_time:0.594s, total_time:0.815s
> 1413_10 PSNR=33.314, SSIM=0.9798 pre_time:0.019s, forward_time:0.198s, post_time:0.652s, total_time:0.869s
> 1413_2 PSNR=33.488, SSIM=0.9770 pre_time:0.019s, forward_time:0.199s, post_time:0.637s, total_time:0.855s
> 1413_3 PSNR=36.837, SSIM=0.9926 pre_time:0.019s, forward_time:0.199s, post_time:0.660s, total_time:0.879s
> 1413_4 PSNR=35.845, SSIM=0.9912 pre_time:0.022s, forward_time:0.199s, post_time:0.713s, total_time:0.934s
> 1413_5 PSNR=36.004, SSIM=0.9900 pre_time:0.024s, forward_time:0.199s, post_time:0.681s, total_time:0.904s
> 1413_6 PSNR=35.728, SSIM=0.9884 pre_time:0.024s, forward_time:0.198s, post_time:0.667s, total_time:0.889s
> 1413_7 PSNR=35.359, SSIM=0.9865 pre_time:0.021s, forward_time:0.198s, post_time:0.631s, total_time:0.850s
> 1413_8 PSNR=34.535, SSIM=0.9845 pre_time:0.019s, forward_time:0.200s, post_time:0.639s, total_time:0.859s
> 1413_9 PSNR=33.811, SSIM=0.9827 pre_time:0.019s, forward_time:0.198s, post_time:0.676s, total_time:0.893s
> 1414_1 PSNR=40.633, SSIM=0.9955 pre_time:0.024s, forward_time:0.199s, post_time:0.608s, total_time:0.830s
> 1414_10 PSNR=36.938, SSIM=0.9853 pre_time:0.019s, forward_time:0.199s, post_time:0.597s, total_time:0.815s
> 1414_2 PSNR=35.742, SSIM=0.9826 pre_time:0.018s, forward_time:0.201s, post_time:0.623s, total_time:0.842s
> 1414_3 PSNR=41.340, SSIM=0.9944 pre_time:0.025s, forward_time:0.201s, post_time:0.656s, total_time:0.881s
> 1414_4 PSNR=40.499, SSIM=0.9931 pre_time:0.019s, forward_time:0.218s, post_time:0.648s, total_time:0.885s
> 1414_5 PSNR=39.485, SSIM=0.9920 pre_time:0.025s, forward_time:0.215s, post_time:0.745s, total_time:0.985s
> 1414_6 PSNR=39.393, SSIM=0.9907 pre_time:0.018s, forward_time:0.431s, post_time:0.705s, total_time:1.154s
> 1414_7 PSNR=38.146, SSIM=0.9895 pre_time:0.022s, forward_time:0.383s, post_time:0.698s, total_time:1.102s
> 1414_8 PSNR=37.558, SSIM=0.9882 pre_time:0.022s, forward_time:0.427s, post_time:0.889s, total_time:1.338s
> 1414_9 PSNR=36.711, SSIM=0.9871 pre_time:0.024s, forward_time:0.211s, post_time:0.673s, total_time:0.907s
